,FECHA,TMAX,TMIN,T_AVE,NOMBRE
1602,Oct-22,22.9,4.9,13.9,NUEVE DE JULIO
1238,Oct-22,20.9,6.9,13.9,MORON AERO
873,Oct-22,19.8,5.0,12.4,EL PALOMAR AERO
508,Oct-22,19.6,9.4,14.5,BUENOS AIRES OBSERVATORIO
143,Oct-22,18.8,10.8,14.8,AEROPARQUE AERO
1601,Oct-22,29.4,11.0,20.2,NUEVE DE JULIO
1237,Oct-22,25.4,13.0,19.2,MORON AERO
872,Oct-22,25.5,13.5,19.5,EL PALOMAR AERO
507,Oct-22,24.8,15.1,19.95,BUENOS AIRES OBSERVATORIO
142,Oct-22,24.1,15.3,19.700000000000003,AEROPARQUE AERO
1236,Oct-22,27.5,17.4,22.45,MORON AERO
871,Oct-22,27.5,14.0,20.75,EL PALOMAR AERO
506,Oct-22,27.5,17.5,22.5,BUENOS AIRES OBSERVATORIO
141,Oct-22,25.6,17.5,21.55,AEROPARQUE AERO
1600,Oct-22,24.2,14.5,19.35,NUEVE DE JULIO
1235,Oct-22,23.0,17.5,20.25,MORON AERO
870,Oct-22,23.5,17.4,20.45,EL PALOMAR AERO
505,Oct-22,24.0,17.6,20.8,BUENOS AIRES OBSERVATORIO
140,Oct-22,24.7,17.1,20.9,AEROPARQUE AERO
1599,Oct-22,27.6,11.1,19.35,NUEVE DE JULIO
1234,Oct-22,28.0,13.3,20.65,MORON AERO
869,Oct-22,28.0,14.5,21.25,EL PALOMAR AERO
504,Oct-22,28.2,15.1,21.65,BUENOS AIRES OBSERVATORIO
139,Oct-22,28.6,15.3,21.950000000000003,AEROPARQUE AERO
1598,Oct-22,28.8,14.7,21.75,NUEVE DE JULIO
1233,Oct-22,33.6,15.3,24.450000000000003,MORON AERO
868,Oct-22,34.0,9.0,21.5,EL PALOMAR AERO
503,Oct-22,34.8,18.4,26.6,BUENOS AIRES OBSERVATORIO
138,Oct-22,34.6,17.2,25.9,AEROPARQUE AERO
1597,Oct-22,26.1,11.6,18.85,NUEVE DE JULIO
1232,Oct-22,30.8,17.4,24.1,MORON AERO
867,Oct-22,30.2,13.6,21.9,EL PALOMAR AERO
502,Oct-22,31.0,19.0,25.0,BUENOS AIRES OBSERVATORIO
137,Oct-22,30.1,19.1,24.6,AEROPARQUE AERO
1596,Oct-22,19.8,10.9,15.35,NUEVE DE JULIO
1231,Oct-22,22.8,11.4,17.1,MORON AERO
866,Oct-22,22.5,10.0,16.25,EL PALOMAR AERO
501,Oct-22,22.6,11.4,17.0,BUENOS AIRES OBSERVATORIO
136,Oct-22,22.2,11.4,16.8,AEROPARQUE AERO
1595,Oct-22,19.0,5.3,12.15,NUEVE DE JULIO
1230,Oct-22,17.0,5.4,11.2,MORON AERO
865,Oct-22,17.0,6.4,11.7,EL PALOMAR AERO
500,Oct-22,17.8,7.7,12.75,BUENOS AIRES OBSERVATORIO
135,Oct-22,17.0,7.8,12.4,AEROPARQUE AERO
1594,Nov-22,25.0,4.9,14.95,NUEVE DE JULIO
1229,Nov-22,24.0,4.5,14.25,MORON AERO
864,Nov-22,24.0,1.4,12.7,EL PALOMAR AERO
499,Nov-22,22.5,6.6,14.55,BUENOS AIRES OBSERVATORIO
134,Nov-22,19.9,9.3,14.6,AEROPARQUE AERO
1593,Nov-22,28.0,9.3,18.65,NUEVE DE JULIO
1228,Nov-22,27.6,10.9,19.25,MORON AERO
863,Nov-22,27.0,6.0,16.5,EL PALOMAR AERO
498,Nov-22,26.4,12.8,19.6,BUENOS AIRES OBSERVATORIO
133,Nov-22,24.7,11.8,18.25,AEROPARQUE AERO
1592,Nov-22,29.5,11.2,20.35,NUEVE DE JULIO
1227,Nov-22,28.4,11.5,19.95,MORON AERO
862,Nov-22,27.2,6.4,16.8,EL PALOMAR AERO
497,Nov-22,26.7,12.4,19.55,BUENOS AIRES OBSERVATORIO
132,Nov-22,23.7,16.2,19.95,AEROPARQUE AERO
1591,Nov-22,29.2,10.2,19.7,NUEVE DE JULIO
1226,Nov-22,24.4,15.4,19.9,MORON AERO
861,Nov-22,24.0,15.3,19.65,EL PALOMAR AERO
496,Nov-22,23.8,15.6,19.7,BUENOS AIRES OBSERVATORIO
131,Nov-22,22.8,14.8,18.8,AEROPARQUE AERO
1590,Nov-22,27.5,11.9,19.7,NUEVE DE JULIO
1225,Nov-22,24.4,15.4,19.9,MORON AERO
860,Nov-22,24.5,15.5,20.0,EL PALOMAR AERO
495,Nov-22,24.5,16.0,20.25,BUENOS AIRES OBSERVATORIO
130,Nov-22,23.1,15.8,19.450000000000003,AEROPARQUE AERO
1589,Nov-22,29.0,12.6,20.8,NUEVE DE JULIO
1224,Nov-22,25.4,15.3,20.35,MORON AERO
859,Nov-22,25.5,16.4,20.95,EL PALOMAR AERO
494,Nov-22,25.4,16.5,20.95,BUENOS AIRES OBSERVATORIO
129,Nov-22,23.6,16.0,19.8,AEROPARQUE AERO
1588,Nov-22,29.5,13.1,21.3,NUEVE DE JULIO
1223,Nov-22,26.0,16.9,21.45,MORON AERO
858,Nov-22,26.0,16.5,21.25,EL PALOMAR AERO
493,Nov-22,25.7,17.5,21.6,BUENOS AIRES OBSERVATORIO
128,Nov-22,24.4,16.0,20.2,AEROPARQUE AERO
1587,Nov-22,29.4,12.7,21.05,NUEVE DE JULIO
1222,Nov-22,25.6,15.5,20.55,MORON AERO
857,Nov-22,25.8,14.5,20.15,EL PALOMAR AERO
492,Nov-22,25.8,16.0,20.9,BUENOS AIRES OBSERVATORIO
127,Nov-22,24.5,15.8,20.15,AEROPARQUE AERO
1586,Nov-22,30.0,13.2,21.6,NUEVE DE JULIO
1221,Nov-22,26.8,16.7,21.75,MORON AERO
856,Nov-22,26.5,15.8,21.15,EL PALOMAR AERO
491,Nov-22,26.0,17.0,21.5,BUENOS AIRES OBSERVATORIO
126,Nov-22,24.1,16.6,20.35,AEROPARQUE AERO
1585,Nov-22,27.0,14.9,20.95,NUEVE DE JULIO
1220,Nov-22,27.2,17.8,22.5,MORON AERO
855,Nov-22,27.5,17.5,22.5,EL PALOMAR AERO
490,Nov-22,27.6,17.5,22.55,BUENOS AIRES OBSERVATORIO
125,Nov-22,25.6,17.3,21.450000000000003,AEROPARQUE AERO
1584,Nov-22,28.1,14.8,21.450000000000003,NUEVE DE JULIO
1219,Nov-22,30.5,15.5,23.0,MORON AERO
854,Nov-22,30.1,13.6,21.85,EL PALOMAR AERO
489,Nov-22,29.8,18.0,23.9,BUENOS AIRES OBSERVATORIO
124,Nov-22,27.6,18.8,23.200000000000003,AEROPARQUE AERO
1583,Nov-22,25.7,15.3,20.5,NUEVE DE JULIO
1218,Nov-22,27.0,20.5,23.75,MORON AERO
853,Nov-22,28.0,19.5,23.75,EL PALOMAR AERO
488,Nov-22,28.0,20.4,24.2,BUENOS AIRES OBSERVATORIO
123,Nov-22,26.8,20.2,23.5,AEROPARQUE AERO
1582,Nov-22,25.0,16.3,20.65,NUEVE DE JULIO
1217,Nov-22,26.5,18.5,22.5,MORON AERO
852,Nov-22,26.0,17.8,21.9,EL PALOMAR AERO
487,Nov-22,26.5,18.8,22.65,BUENOS AIRES OBSERVATORIO
122,Nov-22,25.1,18.7,21.9,AEROPARQUE AERO
1581,Nov-22,26.0,13.4,19.7,NUEVE DE JULIO
1216,Nov-22,23.6,15.5,19.55,MORON AERO
851,Nov-22,23.8,15.7,19.75,EL PALOMAR AERO
486,Nov-22,22.7,16.0,19.35,BUENOS AIRES OBSERVATORIO
121,Nov-22,23.5,15.6,19.55,AEROPARQUE AERO
1580,Nov-22,31.8,12.5,22.15,NUEVE DE JULIO
1215,Nov-22,32.6,14.5,23.55,MORON AERO
850,Nov-22,32.4,11.0,21.7,EL PALOMAR AERO
485,Nov-22,32.8,15.0,23.9,BUENOS AIRES OBSERVATORIO
120,Nov-22,32.7,16.3,24.5,AEROPARQUE AERO
1579,Nov-22,36.0,16.3,26.15,NUEVE DE JULIO
1214,Nov-22,36.4,17.3,26.85,MORON AERO
849,Nov-22,35.0,12.8,23.9,EL PALOMAR AERO
484,Nov-22,34.0,17.0,25.5,BUENOS AIRES OBSERVATORIO
119,Nov-22,29.6,19.4,24.5,AEROPARQUE AERO
1578,Nov-22,27.6,19.1,23.35,NUEVE DE JULIO
1213,Nov-22,31.2,22.2,26.7,MORON AERO
848,Nov-22,31.2,22.5,26.85,EL PALOMAR AERO
483,Nov-22,31.0,22.9,26.95,BUENOS AIRES OBSERVATORIO
118,Nov-22,29.6,21.1,25.35,AEROPARQUE AERO
1577,Nov-22,33.6,18.3,25.950000000000003,NUEVE DE JULIO
1212,Nov-22,31.5,21.1,26.3,MORON AERO
847,Nov-22,31.5,22.2,26.85,EL PALOMAR AERO
482,Nov-22,30.3,22.4,26.35,BUENOS AIRES OBSERVATORIO
117,Nov-22,28.0,21.3,24.65,AEROPARQUE AERO
1576,Nov-22,30.0,16.8,23.4,NUEVE DE JULIO
1211,Nov-22,33.2,23.6,28.4,MORON AERO
846,Nov-22,32.5,22.0,27.25,EL PALOMAR AERO
481,Nov-22,31.5,23.7,27.6,BUENOS AIRES OBSERVATORIO
116,Nov-22,29.8,22.5,26.15,AEROPARQUE AERO
1575,Nov-22,24.6,15.9,20.25,NUEVE DE JULIO
1210,Nov-22,27.5,20.5,24.0,MORON AERO
845,Nov-22,28.0,19.5,23.75,EL PALOMAR AERO
480,Nov-22,29.6,19.8,24.700000000000003,BUENOS AIRES OBSERVATORIO
115,Nov-22,29.5,17.8,23.65,AEROPARQUE AERO
1574,Nov-22,20.7,10.9,15.8,NUEVE DE JULIO
1209,Nov-22,20.6,14.5,17.55,MORON AERO
844,Nov-22,20.0,14.5,17.25,EL PALOMAR AERO
479,Nov-22,19.8,15.5,17.65,BUENOS AIRES OBSERVATORIO
114,Nov-22,19.6,14.7,17.15,AEROPARQUE AERO
1573,Nov-22,25.0,8.2,16.6,NUEVE DE JULIO
1208,Nov-22,24.0,12.0,18.0,MORON AERO
843,Nov-22,24.0,12.8,18.4,EL PALOMAR AERO
478,Nov-22,24.7,14.2,19.45,BUENOS AIRES OBSERVATORIO
113,Nov-22,24.2,13.3,18.75,AEROPARQUE AERO
1572,Nov-22,34.5,11.9,23.2,NUEVE DE JULIO
1207,Nov-22,32.0,13.5,22.75,MORON AERO
842,Nov-22,31.2,8.5,19.85,EL PALOMAR AERO
477,Nov-22,30.5,13.6,22.05,BUENOS AIRES OBSERVATORIO
112,Nov-22,28.6,14.8,21.700000000000003,AEROPARQUE AERO
1571,Nov-22,34.0,16.0,25.0,NUEVE DE JULIO
1206,Nov-22,38.0,18.1,28.05,MORON AERO
841,Nov-22,37.0,17.4,27.2,EL PALOMAR AERO
476,Nov-22,34.5,19.6,27.05,BUENOS AIRES OBSERVATORIO
111,Nov-22,31.9,18.5,25.2,AEROPARQUE AERO
1570,Nov-22,32.5,12.4,22.45,NUEVE DE JULIO
1205,Nov-22,28.2,16.9,22.55,MORON AERO
840,Nov-22,28.5,16.4,22.45,EL PALOMAR AERO
475,Nov-22,29.4,16.2,22.8,BUENOS AIRES OBSERVATORIO
110,Nov-22,29.8,17.2,23.5,AEROPARQUE AERO
1569,Nov-22,38.4,16.6,27.5,NUEVE DE JULIO
1204,Nov-22,33.6,20.3,26.950000000000003,MORON AERO
839,Nov-22,33.6,20.4,27.0,EL PALOMAR AERO
474,Nov-22,32.7,20.2,26.450000000000003,BUENOS AIRES OBSERVATORIO
109,Nov-22,28.4,20.1,24.25,AEROPARQUE AERO
1568,Nov-22,35.4,18.2,26.8,NUEVE DE JULIO
1203,Nov-22,32.4,21.9,27.15,MORON AERO
838,Nov-22,32.5,21.9,27.2,EL PALOMAR AERO
473,Nov-22,31.4,22.2,26.8,BUENOS AIRES OBSERVATORIO
108,Nov-22,29.1,21.7,25.4,AEROPARQUE AERO
1567,Nov-22,36.5,18.4,27.45,NUEVE DE JULIO
1202,Nov-22,33.0,23.1,28.05,MORON AERO
837,Nov-22,32.5,22.6,27.55,EL PALOMAR AERO
472,Nov-22,31.7,21.4,26.55,BUENOS AIRES OBSERVATORIO
107,Nov-22,30.0,22.3,26.15,AEROPARQUE AERO
1566,Nov-22,37.4,21.1,29.25,NUEVE DE JULIO
1201,Nov-22,33.8,23.1,28.45,MORON AERO
836,Nov-22,33.5,22.7,28.1,EL PALOMAR AERO
471,Nov-22,33.0,23.1,28.05,BUENOS AIRES OBSERVATORIO
106,Nov-22,32.1,22.7,27.4,AEROPARQUE AERO
1565,Nov-22,28.0,18.9,23.45,NUEVE DE JULIO
1200,Nov-22,31.7,21.6,26.65,MORON AERO
835,Nov-22,31.0,21.8,26.4,EL PALOMAR AERO
470,Nov-22,30.5,23.0,26.75,BUENOS AIRES OBSERVATORIO
105,Nov-22,28.1,23.4,25.75,AEROPARQUE AERO
1564,Dec-22,26.7,14.3,20.5,NUEVE DE JULIO
1199,Dec-22,24.4,17.9,21.15,MORON AERO
834,Dec-22,24.4,17.8,21.1,EL PALOMAR AERO
469,Dec-22,24.4,17.9,21.15,BUENOS AIRES OBSERVATORIO
104,Dec-22,24.4,17.8,21.1,AEROPARQUE AERO
1563,Dec-22,29.8,13.6,21.7,NUEVE DE JULIO
1198,Dec-22,28.8,13.1,20.95,MORON AERO
833,Dec-22,28.0,14.0,21.0,EL PALOMAR AERO
468,Dec-22,27.0,15.4,21.2,BUENOS AIRES OBSERVATORIO
103,Dec-22,24.3,15.6,19.95,AEROPARQUE AERO
1562,Dec-22,33.3,13.9,23.6,NUEVE DE JULIO
1197,Dec-22,28.4,15.8,22.1,MORON AERO
832,Dec-22,30.0,15.2,22.6,EL PALOMAR AERO
467,Dec-22,27.0,19.0,23.0,BUENOS AIRES OBSERVATORIO
102,Dec-22,25.6,18.6,22.1,AEROPARQUE AERO
1561,Dec-22,36.6,16.3,26.450000000000003,NUEVE DE JULIO
1196,Dec-22,34.5,14.4,24.45,MORON AERO
831,Dec-22,34.3,13.0,23.65,EL PALOMAR AERO
466,Dec-22,32.5,17.6,25.05,BUENOS AIRES OBSERVATORIO
101,Dec-22,28.7,18.8,23.75,AEROPARQUE AERO
1560,Dec-22,39.5,19.8,29.65,NUEVE DE JULIO
1195,Dec-22,36.0,22.3,29.15,MORON AERO
830,Dec-22,35.0,18.4,26.7,EL PALOMAR AERO
465,Dec-22,34.1,22.3,28.200000000000003,BUENOS AIRES OBSERVATORIO
100,Dec-22,31.6,23.1,27.35,AEROPARQUE AERO
1559,Dec-22,38.3,22.2,30.25,NUEVE DE JULIO
1194,Dec-22,36.4,23.6,30.0,MORON AERO
829,Dec-22,35.5,22.2,28.85,EL PALOMAR AERO
464,Dec-22,35.0,23.0,29.0,BUENOS AIRES OBSERVATORIO
99,Dec-22,32.9,23.2,28.05,AEROPARQUE AERO
1558,Dec-22,32.3,20.3,26.3,NUEVE DE JULIO
1193,Dec-22,33.6,25.3,29.450000000000003,MORON AERO
828,Dec-22,34.1,23.5,28.8,EL PALOMAR AERO
463,Dec-22,34.0,25.7,29.85,BUENOS AIRES OBSERVATORIO
98,Dec-22,33.3,25.3,29.3,AEROPARQUE AERO
1557,Dec-22,35.0,18.7,26.85,NUEVE DE JULIO
1192,Dec-22,36.0,20.7,28.35,MORON AERO
827,Dec-22,36.6,21.0,28.8,EL PALOMAR AERO
462,Dec-22,36.1,22.0,29.05,BUENOS AIRES OBSERVATORIO
97,Dec-22,34.8,21.1,27.95,AEROPARQUE AERO
1556,Dec-22,38.2,20.5,29.35,NUEVE DE JULIO
1191,Dec-22,38.5,22.7,30.6,MORON AERO
826,Dec-22,38.5,19.6,29.05,EL PALOMAR AERO
461,Dec-22,38.2,23.7,30.950000000000003,BUENOS AIRES OBSERVATORIO
96,Dec-22,34.6,22.4,28.5,AEROPARQUE AERO
1555,Dec-22,35.0,15.9,25.45,NUEVE DE JULIO
1190,Dec-22,31.0,20.3,25.65,MORON AERO
825,Dec-22,31.0,20.9,25.95,EL PALOMAR AERO
460,Dec-22,29.8,21.6,25.700000000000003,BUENOS AIRES OBSERVATORIO
95,Dec-22,28.0,21.6,24.8,AEROPARQUE AERO
1554,Dec-22,36.2,20.4,28.3,NUEVE DE JULIO
1189,Dec-22,38.0,23.5,30.75,MORON AERO
824,Dec-22,38.4,22.8,30.6,EL PALOMAR AERO
459,Dec-22,37.7,23.1,30.4,BUENOS AIRES OBSERVATORIO
94,Dec-22,35.9,23.8,29.85,AEROPARQUE AERO
1553,Dec-22,29.9,13.8,21.85,NUEVE DE JULIO
1188,Dec-22,30.0,16.3,23.15,MORON AERO
823,Dec-22,29.0,15.4,22.2,EL PALOMAR AERO
458,Dec-22,28.5,18.2,23.35,BUENOS AIRES OBSERVATORIO
93,Dec-22,27.6,18.4,23.0,AEROPARQUE AERO
1552,Dec-22,30.4,12.4,21.4,NUEVE DE JULIO
1187,Dec-22,30.0,13.5,21.75,MORON AERO
822,Dec-22,29.5,13.0,21.25,EL PALOMAR AERO
457,Dec-22,27.5,15.9,21.7,BUENOS AIRES OBSERVATORIO
92,Dec-22,26.5,16.8,21.65,AEROPARQUE AERO
1551,Dec-22,36.8,17.3,27.05,NUEVE DE JULIO
1186,Dec-22,33.9,19.9,26.9,MORON AERO
821,Dec-22,33.0,17.2,25.1,EL PALOMAR AERO
456,Dec-22,32.4,21.5,26.95,BUENOS AIRES OBSERVATORIO
91,Dec-22,30.7,20.5,25.6,AEROPARQUE AERO
1550,Dec-22,31.2,17.4,24.3,NUEVE DE JULIO
1185,Dec-22,29.9,18.1,24.0,MORON AERO
820,Dec-22,29.3,18.1,23.700000000000003,EL PALOMAR AERO
455,Dec-22,29.7,18.1,23.9,BUENOS AIRES OBSERVATORIO
90,Dec-22,29.1,18.6,23.85,AEROPARQUE AERO
1549,Dec-22,29.2,13.3,21.25,NUEVE DE JULIO
1184,Dec-22,24.8,15.3,20.05,MORON AERO
819,Dec-22,24.5,15.5,20.0,EL PALOMAR AERO
454,Dec-22,24.6,16.3,20.450000000000003,BUENOS AIRES OBSERVATORIO
89,Dec-22,23.1,17.3,20.200000000000003,AEROPARQUE AERO
1548,Dec-22,29.1,11.9,20.5,NUEVE DE JULIO
1183,Dec-22,26.5,14.6,20.55,MORON AERO
818,Dec-22,26.5,16.6,21.55,EL PALOMAR AERO
453,Dec-22,26.1,17.6,21.85,BUENOS AIRES OBSERVATORIO
88,Dec-22,25.1,17.4,21.25,AEROPARQUE AERO
1547,Dec-22,32.1,14.8,23.450000000000003,NUEVE DE JULIO
1182,Dec-22,28.4,19.3,23.85,MORON AERO
817,Dec-22,28.5,19.1,23.8,EL PALOMAR AERO
452,Dec-22,28.2,19.7,23.95,BUENOS AIRES OBSERVATORIO
87,Dec-22,27.2,19.5,23.35,AEROPARQUE AERO
1546,Dec-22,33.5,15.8,24.65,NUEVE DE JULIO
1181,Dec-22,30.2,20.4,25.3,MORON AERO
816,Dec-22,30.0,20.5,25.25,EL PALOMAR AERO
451,Dec-22,30.4,21.2,25.8,BUENOS AIRES OBSERVATORIO
86,Dec-22,27.8,20.4,24.1,AEROPARQUE AERO
1545,Dec-22,34.4,17.3,25.85,NUEVE DE JULIO
1180,Dec-22,31.3,21.3,26.3,MORON AERO
815,Dec-22,31.5,22.0,26.75,EL PALOMAR AERO
450,Dec-22,31.0,21.7,26.35,BUENOS AIRES OBSERVATORIO
85,Dec-22,29.6,21.6,25.6,AEROPARQUE AERO
1544,Dec-22,33.4,18.9,26.15,NUEVE DE JULIO
1179,Dec-22,31.0,20.9,25.95,MORON AERO
814,Dec-22,30.7,21.2,25.95,EL PALOMAR AERO
449,Dec-22,30.2,21.4,25.8,BUENOS AIRES OBSERVATORIO
84,Dec-22,28.1,20.8,24.450000000000003,AEROPARQUE AERO
1543,Dec-22,35.4,18.2,26.8,NUEVE DE JULIO
1178,Dec-22,33.0,22.5,27.75,MORON AERO
813,Dec-22,33.0,22.0,27.5,EL PALOMAR AERO
448,Dec-22,32.2,22.4,27.3,BUENOS AIRES OBSERVATORIO
83,Dec-22,30.1,21.7,25.9,AEROPARQUE AERO
1542,Dec-22,30.4,19.6,25.0,NUEVE DE JULIO
1177,Dec-22,29.0,20.5,24.75,MORON AERO
812,Dec-22,29.0,20.4,24.7,EL PALOMAR AERO
447,Dec-22,28.3,20.6,24.450000000000003,BUENOS AIRES OBSERVATORIO
82,Dec-22,27.1,21.1,24.1,AEROPARQUE AERO
1541,Dec-22,25.5,14.6,20.05,NUEVE DE JULIO
1176,Dec-22,24.5,17.3,20.9,MORON AERO
811,Dec-22,24.2,17.8,21.0,EL PALOMAR AERO
446,Dec-22,24.4,17.8,21.1,BUENOS AIRES OBSERVATORIO
81,Dec-22,24.2,17.5,20.85,AEROPARQUE AERO
1540,Dec-22,26.5,11.3,18.9,NUEVE DE JULIO
1175,Dec-22,24.7,10.4,17.55,MORON AERO
810,Dec-22,25.0,8.7,16.85,EL PALOMAR AERO
445,Dec-22,25.2,11.8,18.5,BUENOS AIRES OBSERVATORIO
80,Dec-22,24.1,13.7,18.9,AEROPARQUE AERO
1539,Dec-22,30.8,13.7,22.25,NUEVE DE JULIO
1174,Dec-22,29.5,14.1,21.8,MORON AERO
809,Dec-22,29.4,10.0,19.7,EL PALOMAR AERO
444,Dec-22,29.6,15.2,22.4,BUENOS AIRES OBSERVATORIO
79,Dec-22,26.6,16.8,21.700000000000003,AEROPARQUE AERO
1538,Dec-22,34.1,16.1,25.1,NUEVE DE JULIO
1173,Dec-22,31.9,17.8,24.85,MORON AERO
808,Dec-22,31.5,14.0,22.75,EL PALOMAR AERO
443,Dec-22,31.1,19.4,25.25,BUENOS AIRES OBSERVATORIO
78,Dec-22,29.7,19.2,24.45,AEROPARQUE AERO
1537,Dec-22,30.9,11.3,21.1,NUEVE DE JULIO
1172,Dec-22,31.5,21.4,26.45,MORON AERO
807,Dec-22,31.0,20.0,25.5,EL PALOMAR AERO
442,Dec-22,31.0,22.3,26.65,BUENOS AIRES OBSERVATORIO
77,Dec-22,31.1,20.8,25.950000000000003,AEROPARQUE AERO
1536,Dec-22,32.6,14.4,23.5,NUEVE DE JULIO
1171,Dec-22,30.7,14.9,22.8,MORON AERO
806,Dec-22,30.6,13.5,22.05,EL PALOMAR AERO
441,Dec-22,30.6,16.1,23.35,BUENOS AIRES OBSERVATORIO
76,Dec-22,27.5,18.7,23.1,AEROPARQUE AERO
1535,Dec-22,38.8,18.7,28.75,NUEVE DE JULIO
1170,Dec-22,37.8,19.7,28.75,MORON AERO
805,Dec-22,37.5,19.3,28.4,EL PALOMAR AERO
440,Dec-22,36.8,20.6,28.7,BUENOS AIRES OBSERVATORIO
75,Dec-22,35.1,21.3,28.200000000000003,AEROPARQUE AERO
1534,Dec-22,34.2,17.8,26.0,NUEVE DE JULIO
1169,Dec-22,31.6,21.1,26.35,MORON AERO
804,Dec-22,31.0,22.0,26.5,EL PALOMAR AERO
439,Dec-22,32.0,22.5,27.25,BUENOS AIRES OBSERVATORIO
74,Dec-22,31.6,22.2,26.9,AEROPARQUE AERO
1533,Jan-23,27.9,17.6,22.75,NUEVE DE JULIO
1168,Jan-23,27.0,19.3,23.15,MORON AERO
803,Jan-23,25.5,19.0,22.25,EL PALOMAR AERO
438,Jan-23,26.9,20.2,23.55,BUENOS AIRES OBSERVATORIO
73,Jan-23,26.6,19.5,23.05,AEROPARQUE AERO
1532,Jan-23,30.8,13.7,22.25,NUEVE DE JULIO
1167,Jan-23,30.3,16.3,23.3,MORON AERO
802,Jan-23,30.0,16.5,23.25,EL PALOMAR AERO
437,Jan-23,30.5,17.1,23.8,BUENOS AIRES OBSERVATORIO
72,Jan-23,30.7,16.9,23.8,AEROPARQUE AERO
